token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent_circulating,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating,owner_exceeds_5_percent_circulating,creator_exceeds_5_percent_circulating,owner_is_creator
0x0782b6d8c4551b9760e74c0545a9bcd90bdc41e5,bsc,Lista USD,200,69666335.1014284,3.75990498493389e-11,200,68037443.52103133,97.66186698636359,1.8095522039429313e+20,False,False,,,True
0x07b36f2549291d320132712a1e64d3826b1fb4d7,bsc,WIFEDOGE,200,7.47e+17,0.0,0,1.8568060901028742e+17,24.85684190231425,0.0,True,True,,,True
0x07c15e4add8c23d2971380dde6c57b6f88902ec1,bsc,MetaMars,200,260000000.0,1.143e-10,200,212428835.76605582,81.70339837155993,1.8585199979532442e+20,False,False,,,True
0x08037036451c768465369431da5c671ad9b37dbc,bsc,NFT STARS COIN,200,20000000.0,1.3742492708487154e-12,200,19475028.428720504,97.37514214360252,1.417139440553825e+21,False,False,,,True
0x0808e6c4400bde1d70db0d02170b67de05e07ef5,eth,Wrapped LYX,152,9606.141376655249,9606.141376655247,6,9215.564452953347,95.93409144850732,95.93409144850735,False,False,,,True
0x0864c156b3c5f69824564dec60c629ae6401bf2a,bsc,Streamr,200,15000000.0,7.67121867e-10,200,8673941.831173765,57.82627887449176,1.1307123684395982e+18,True,False,,,True
0x08ba0619b1e7a582e0bce5bbe9843322c954c340,bsc,Binamon,200,228619895.80672747,1.70194929164554e-10,200,169912897.79401335,74.32113342298769,9.98342892047812e+19,False,False,,,True
0x09395a2a58db45db0da254c7eaa5ac469d8bdc85,eth,SubQueryToken,200,10177161413.708735,2.965627470145891e-09,200,9379546635.248098,92.16269894878309,3.1627528169567034e+20,False,False,,,True
0x095956b142431eb9cf88b99f392540b91acbf4ad,bsc,One Basis Share,200,1.0233486706160354e+41,1.023348670614194e+41,0,1.0233486702862702e+41,99.99999996777588,99.99999996795582,False,False,True,,False
0x09f423ac3c9babbff6f94d372b16e4206e71439f,bsc,Wrapped Enjinstarter,200,4406614145.586483,4.137945042646029e-09,200,3196180789.1217394,72.53144213506707,7.724077425344263e+19,False,False,,,True
0x0a3a21356793b49154fd3bbe91cbc2a16c0457f5,bsc,RFOX,200,366695284.4792435,1.929656337827613e-09,200,122213022.46218601,33.32822308739118,6.333408704255191e+18,True,False,,,True
0x0a907b0bbff60702b29a36b19718d99253cfbd9f,eth,QLix,200,1000000.0,1e-12,199,614931.7016897934,61.49317016897934,6.149317016897934e+19,True,False,,True,False
0x0a9e3dde12e4519c9d89df69bd738490c9466bf4,eth,Market Dominance,59,14161890.129862001,5.50921029259264e-10,48,13883084.653342389,98.03129756012076,2.51997725917429e+18,False,False,True,True,False
0x0aee8703d34dd9ae107386d3eff22ae75dd616d1,eth,Tranche Finance,200,20000000.0,1.741934311214679e-11,200,12066156.992107049,60.33078496053523,6.9268725659885085e+19,True,False,,,True
0x0b0a8c7c34374c1d0c649917a97eee6c6c929b1b,eth,Shiba V Pepe,200,420690000000000.06,0.0,0,290578615978051.56,69.07190947682415,0.0,True,True,,,True
0x0b15ddf19d47e6a86a56148fb4afffc6929bcb89,bsc,Impossible Decentralized Incubator Access Token,200,1000000000.0,7.483891598654493e-10,200,784797475.0979882,78.47974750979883,1.048648907794288e+20,False,False,,,True
0x0b38210ea11411557c13457d4da7dc6ea731b88a,eth,API3,200,151252891.60436457,1.281712351385078e-10,199,114053585.28859884,75.40588750324935,8.898532121138353e+19,False,False,True,,False
0x0b3f42481c228f70756dbfa0309d3ddc2a5e0f6a,bsc,UltraSafe,200,1000000000000000.0,0.0,0,532358908847397.0,53.2358908847397,0.0,True,True,,,True
0x0cbd6fadcf8096cc9a43d90b45f65826102e3ece,bsc,CheckDot,200,9897808.0,7.390041e-12,200,5829639.271549676,58.89828608061175,7.888507345966925e+19,True,False,,,True
0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,bsc,Filecoin,200,15009999.999926705,0.0,0,6107822.759368758,40.69169060225571,0.0,True,True,,,True
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,bsc,PancakeSwap Token,200,2556860883.751051,3.442333547448253e-10,199,195070057.62843093,7.629279280234158,5.666797099689345e+19,True,False,True,,False
0x0e7779e698052f8fe56c415c3818fcf89de9ac6d,bsc,Ultiverse Token,200,6970000000.0,6.058889988e-09,199,5026733222.118735,72.11955842351126,8.296458975281753e+19,False,False,True,,False
