token_address,chain,token_name,price_usd,liquidity_usd,slippage_is_suspicious,first_abnormal_slippage_percent,first_abnormal_slippage_fixed,market_cap_usd,liquidity_to_market_cap_ratio,token_volume,volume_usd,volume_to_liquidity_ratio,locked_liquidity_percent,lock_duration,locked_95_for_15_days,creator_under_5_percent,creator_percent_of_lp,owner_under_5_percent,owner_percent_of_lp,total_lp_supply,lp_holders_count,error
0x00000000051b48047be6dc0ada6de5c3de86a588,eth,Baby Shiba Inu,0.001049,225436.87,False,,,414296.751678855,0.5441434650077801,3320740.923644281,3483.4572289028506,0.01545202978067807,91.27,0.0,False,True,0.0,True,0.0,36527.334059950226,3,
0x0000000000c5dc95539589fbd24be07c6c14eca4,eth,Milady Cult Coin,0.000797,10027177.43,True,,17.73591588683814,36528324.68787128,0.2745041694542697,280516.43584077235,223.57159936509555,2.2296563606843004e-05,0.0,0.0,False,True,0.0,True,0.0,1893167.5166553876,10,
0x0018d5e01e53878f90feab02f1b2019a21adf8b1,eth,Shadowcats,0.04450859926612973,49708.67539147756,False,,,0.0,0.0,109835.90416491005,4888.642243509012,0.0983458562315092,100.0,0.0,False,True,0.0,True,0.0,1545.2460465688187,2,
0x0026dfbd8dbb6f8d0c88303cc1b1596409fda542,eth,SANSHU!,0.0001999,24295.79,False,,,199900.0,0.12153971985992996,0.0,0.0,0.0,77.05,0.0,False,True,0.3015,True,0.0,12900.815739917016,5,Liquidity pool info could not be retrieved.
0x004f747a91e05d0e2fbe8bf3cd39cdb2bcfab02c,eth,TWEET,0.01903,61044.06,False,,,0.0,0.0,196720.93080066922,3743.599313136735,0.06132618494144615,99.72,0.0,False,True,0.0,True,0.0,3025.054997350053,4,
0x005e6fd1610302018dcd9caf29b8bc38ff6efd98,eth,Metafox,0.000129,159490.66,False,,,1290000.0,0.12363617054263566,533485203.739944,68819.59128245276,0.43149605928304996,99.75,0.0,False,True,0.0,True,0.0,2.7728777700652323,3,
0x00869e8e2e0343edd11314e6ccb0d78d51547ee5,eth,SuperGrok,0.0001336,53134.11,,,,133600.0,0.3977104041916168,,,,0.0,0.0,False,True,0.0,True,0.0,39391.38251147993,2,Liquidity pool info could not be retrieved.
0x00e1656e45f18ec6747f5a8496fd39b50b38396d,bsc,Bomber Coin,0.008844,220608.12,False,,,775800.1425261556,0.28436205139336174,2024.2172783377232,17.90217760961882,8.114922338134617e-05,76.52,0.0,False,True,0.0,True,0.0,3515.1955071213906,10,
0x00f71afe867b2dbd2ad4ba14fd139bc6bc659ccd,bsc,XOXO Monkey,0.0001601,16274.19,False,,,37522.88654336132,0.4337137011352686,2502247.1110203704,400.6097624743613,0.024616264310196777,93.07,0.0,False,True,0.0,True,4.8096,19063.08215674832,10,
0x0138f5e99cfdffbacf36e543800c19ef16fa294b,eth,Prophet,0.027164379000041827,49202.283715299374,False,,,0.0,0.0,25485.337762401552,692.2933739219537,0.014070350431857824,100.0,0.0,False,True,0.0,True,0.0,2250.6928688079097,2,
