token_address,chain,token_name,contract_name,verified,owner,creator,is_hidden_owner,is_proxy,is_sellable,is_hardcoded_owner,has_source_code,has_abi,total_snippets,honeypot_mechanics_number,minting_mechanics_number,ownership_manipulation_number,transfer_blocking_number,stealth_fee_mechanics_number,liquidity_manipulation_number,router_manipulation_number,balance_manipulation_number,anti_analysis_features_number,block_based_restrictions_number,emergency_functions_number
0xeca88125a5adbe82614ffc12d0db554e2e2867c8,bsc,Venus USDC,VBep20Delegator,True,,0x1ca3ac3686071be692be7f1fbecd668641476d7e,True,True,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xeceb87cf00dcbf2d4e2880223743ff087a995ad9,bsc,NUM Token [via ChainPort.io],BridgeMintableToken,True,,0xfe83475880d3592833249baaacfec5ed51e29d82,True,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xed00fc7d48b57b81fe65d1ce71c0985e4cf442cb,bsc,Chirpley Token,ChirpleyToken,True,0x0000000000000000000000000000000000000000,0x67a41a5f64b102d2eb680cc7f336e3e425ccb6df,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xed0439eacf4c4965ae4613d77a5c2efe10e5f183,eth,shroom.finance,SHROOMToken,True,0x026eafb25ddf7d754d3a66a56c9a6400e99c26c5,0xda56b93b787da55f3d2f725a37171648ae09f87c,False,False,True,False,True,True,4,0,4,0,0,0,0,0,0,0,0,0
0xed28a457a5a76596ac48d87c0f577020f6ea1c4c,bsc,pTokens BTC,AdminUpgradeabilityProxy,True,0xa8110626e050715e8fdd5d00ba2d09e0d216e3cc,0x649e47092768564e5252c65d94fa6f0f66432615,False,True,True,False,True,True,1,1,0,0,0,0,0,0,0,0,0,0
0xed4e879087ebd0e8a77d66870012b5e0dffd0fa4,eth,AstroPepeX,AstroPepeX,True,0x0000000000000000000000000000000000000000,0x92fb7dded09de546ad7c23e73caf8d6c34c96919,False,False,True,False,True,True,5,0,5,0,0,0,0,0,0,0,0,0
0xed8c8aa8299c10f067496bb66f8cc7fb338a3405,bsc,Prosper,PROS,True,,0xe12e7fe33b979985892ba674924272ebaf5d2ba0,True,False,True,False,True,True,3,0,3,0,0,0,0,0,0,0,0,0
0xedc3be0080f65c628964f44ba3f2b6057e60f8dc,eth,DASH,DASH,True,0xcddbd3903448db97fb68b7fcbee3100a163ffbc0,0xcddbd3903448db97fb68b7fcbee3100a163ffbc0,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xedd52d44de950ccc3b2e6abdf0da8e99bb0ec480,bsc,CRAZY TIGER,CRAZYTIGER,True,0x0000000000000000000000000000000000000000,0x4701bba6eb78bed8c40bffc41f97315973f5482e,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xee7e8c85956d32c64bafdcded3f43b3c39b1ce2f,bsc,WEB4 AI,WEB4,True,0x0000000000000000000000000000000000000000,0x05e1ec752c8bcb4b8a0d3aec634018319f95ceee,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xee81ca267b8357ba30049d679027ebf65fcf7458,bsc,VOPO,TeamToken,True,,0x8a5de08772757800361b88dfb6f86b0ea46d04be,True,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xee9801669c6138e84bd50deb500827b776777d28,bsc,O3 Swap Token,O3,True,0x4283b3469a9edce1fda34ec6e8a453cf82b9cab7,0x4283b3469a9edce1fda34ec6e8a453cf82b9cab7,False,False,True,False,True,True,4,0,4,0,0,0,0,0,0,0,0,0
0xeeb4d8400aeefafc1b2953e0094134a887c76bd8,eth,Avail,Avail,True,,0xce914b30e46334cf76d2d3e2556f8af0bef9bd42,True,False,True,False,True,True,3,0,3,0,0,0,0,0,0,0,0,0
0xeee352f77f28d31601eb20d3de09d7729ca2dc79,bsc,AUSTIN Token,AUSTINTOKEN,True,0x1295447f6ce318fa2da031546773ba4fda21772f,0x1295447f6ce318fa2da031546773ba4fda21772f,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xeeeeeb57642040be42185f49c52f7e9b38f8eeee,bsc,Elk,Elk,True,0x6bc5fc9d0d908ef8444a7d8f6a7e1a7050a82084,0x6bc5fc9d0d908ef8444a7d8f6a7e1a7050a82084,False,False,True,False,True,True,4,0,4,0,0,0,0,0,0,0,0,0
0xef53462838000184f35f7d991452e5f25110b207,eth,Knit Finance,KnitFinance,True,0x7d6762c69559b9a9208c6609ce21e870a46cfbb4,0x68c5e917de0e45bb42cae2b8672cb2fa5c695bd6,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xef8e456967122db4c3c160314bde8d2602ad6199,eth,Wagmi Coin,WagmiCoin,True,0x0000000000000000000000000000000000000000,0x2b656e6d57186d1ea6c53e0bd327ed0b32ec5221,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf02c2dc9b3cb7f1ba21ccd82dff4ebc92da8996f,eth,TensorScan AI,TensorScanAI,True,0x0000000000000000000000000000000000000000,0xbe8515b558f4576113e754660c9874a8013c54be,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf0a949b935e367a94cdfe0f2a54892c2bc7b2131,eth,Affine ultraETHs 2.0,ERC1967Proxy,True,,0x4e283abd94aee0a5a64a582def7b22bba60576d8,True,True,False,False,True,True,1,1,0,0,0,0,0,0,0,0,0,0
0xf0dcf7ac48f8c745f2920d03dff83f879b80d438,bsc,Gami Token,GamifyToken,True,0x9727a21cf6212a03b0ae6a5209dad3fde05517b8,0x736e94d5b3ebe1bed20fbc5c0f4efdc97da9397f,False,False,True,False,True,True,4,0,4,0,0,0,0,0,0,0,0,0
0xf16e81dce15b08f326220742020379b855b87df9,bsc,IceToken,IceToken,True,0x533e3c0e6b48010873b947bddc4721b1bdff9648,0x5c82f157964de5bb292774e27ac331d1e647020b,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf1f508c7c9f0d1b15a76fba564eef2d956220cf7,eth,Pepedex,PepedexToken,True,,0x29725cb1fbd4c7e38116a34651b93bae7581bbf1,True,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf1f955016ecbcd7321c7266bccfb96c68ea5e49b,eth,Rally,RallyToken,True,,0x80d225fe717faefd206ac824eb93d68fc326604c,True,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e,bsc,Reef.finance,ReefToken,True,0x76d1306995cfb45529595814b4a9bac05692a09a,0x76d1306995cfb45529595814b4a9bac05692a09a,False,False,True,False,True,True,4,0,4,0,0,0,0,0,0,0,0,0
0xf218184af829cf2b0019f8e6f0b2423498a36983,bsc,MATH Token,MATHToken,True,0x141cdb8101a44516cd5fff0a6cb0e8753d8de667,0x141cdb8101a44516cd5fff0a6cb0e8753d8de667,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4,eth,Sylo,SyloToken,True,0x7c454be3fc675b8666f3609684e075a94b2af487,0x7c454be3fc675b8666f3609684e075a94b2af487,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf2a22b900dde3ba18ec2aef67d4c8c1a0dab6aac,eth,Monkeys,MONKEYS,True,0x0000000000000000000000000000000000000000,0x8c5c4f3b5c53566309e9f0b61d4895f8fce93a8d,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf2b688b2201979d44fdf18d1d8c641305cf560ba,bsc,Devomon,Devomon,True,,0x1460422ad0e3aef5cf1da3e632c30178c3134299,True,False,True,False,True,True,1,0,1,0,0,0,0,0,0,0,0,0
0xf2c88757f8d03634671208935974b60a2a28bdb3,bsc,MyShell Token,MyShellEVM,True,0x541ef0eee35546a9dae28ee79eb18300cbaeb593,0x6234e951f488784aecd82963e896ec896360e5fa,False,False,True,False,True,True,1,0,1,0,0,0,0,0,0,0,0,0
0xf2dfdbe1ea71bbdcb5a4662a16dbf5e487be3ebe,eth,DeCloud,DeCloud,True,0x0000000000000000000000000000000000000000,0x4efb356a901ae1fea8c0e4d7513b4a1ed1f6c414,False,False,True,False,True,True,3,0,2,0,1,0,0,0,0,0,0,0
