token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating
0x03AF29b33c20A046Fc53674AfB009a1a0F4d5A80,bsc,Sirius Crypto Capital,31,100000000000000,100000000000000,3,96328001962625,96.328001962625,96.328001962625,False,False
0x03E1D474e986B3aa7D5084F06b9056aAdBD0C183,bsc,KRAN COIN,36,12000000000000000000000000,11999999963971202874276446,3,11991103382679001825542144,99.92586152232501,99.9258618223424,False,False
0x03F437e4dCBa0473909d80B471aA7141b7D1d1eB,bsc,ELONYUP,200,100000000000000000000,88662266009180747153,2,71714443269431427712,71.71444326943143,80.88496549592539,False,False
0x03fD0277dE9795c0F23b8bFd96146C5c6B63b666,bsc,HorusCoin,140,1000000000000000000000000,872391927843655984289090,2,744606852008982615022448,74.46068520089825,85.35233170364982,False,False
0x041164dE01b057F179aE005330Fa560E442fe364,bsc,HYCON,3,1000000000000000,972255778490256,1,944511556980513,94.45115569805131,97.14640713652275,False,False
0x0425De676d3ED3931eB9e70f7d57F893D49b84D8,bsc,COSMO CAKE,21,1000000000000000000000000,999999999999999983771090,7,984726928679767180836864,98.47269286797672,98.47269286797672,False,False
0x04435B1666F3Eb5888ec44b38437846e01095ca0,bsc,VALOBIT,5,1000000000000,1000000000000,1,1000000000000,100.0,100.0,False,False
0x044Ac54Aa258Fcb7f0E236da1a9e4899171544cB,bsc,Infamous,126,1000000000000000000000000,968384428115868696331569,2,936664850628271360522678,93.66648506282714,96.72448497036324,False,False
0x04510a1f6cac6bA96a68091E0014C22478B2e2d4,bsc,LFG,18,1000000000000000000,988539675754011727,1,975615667776059916,97.56156677760599,98.69261615947848,False,False
0x04c1245ea1DfD61CC951d08FeAdf53B0fF2F3DeC,bsc,QuantumLeapCoin,69,100000000000000000000,100000000000000000000,1,99999993499804125092,99.99999349980413,99.99999349980413,False,False
0x04c56a7339f2EF6dcBeF8E8357C87c572353F3Af,bsc,FTOT COIN,36,10000000000000000000000000,10000000000000000000000000,3,9968168090092815597482583,99.68168090092816,99.68168090092816,False,False
0x0559D0bcc460F610A942275c68e5d46D886cBdFA,bsc,BlueMoon,200,1000000000000000000000000000000000,500000293336257371884516066459648,0,396060439199220900430872576,3.960604391992209e-05,7.921204136831668e-05,True,True
0x0590430a8CCb0E432C6380087734894Af0c4b4aa,bsc,Dumptesla,200,1000000000000000000000000000,954282825197901260697632768,1,655958895467566375886651392,65.59588954675664,68.73841571355244,True,True
0x05D3c50807219831a49d24aEA50764262faC2Ba0,bsc,NVDA,26,100000000000000000000000000,99999999999999998887591936,4,97187772873714010490404864,97.18777287371401,97.18777287371401,False,False
0x05E1Bf0AC4f7710B7e1d003bee1fe1478d3A91D2,bsc,Moon,178,1000000000000000000000000,986204320920399393405287,1,970700867446561952628736,97.0700867446562,98.42796739529913,False,False
0x05Eb12492D274aF31CaCAe27EE73Cbab5406b923,bsc,Snowy Dog,30,1000000000000000000000,990627358615765329501,4,978015086459410554816,97.80150864594106,98.72683991142964,False,False
0x0606470EBaf2fe41Db4d709a72F0cc93e1e1428c,bsc,BAO Finance,64,1000000000000,1000000000000,1,993586531849,99.3586531849,99.3586531849,False,False
0x06185Ac680738Ef1A24152953A129293E4Dd405E,bsc,CULT DAO,19,2000000000000000000000000,1999999999999999972941145,5,1918677634864410297106432,95.93388174322051,95.93388174322051,False,False
0x062f8B9Bd5f0c84c46f82b9DDe0Ab486D9a2bcBe,bsc,Whatcher.Guru,20,1000000000000000000,950449207791748868,3,899022305263219931,89.90223052632199,94.58920033738436,False,False
0x064DB697061374baB55715C905CAeA17F8FF5565,bsc,Sun Flare,10,1000000000000000000000000000000000,1000000000000000033542779753725952,2,1000000000000000067085559507451904,100.0,100.0,False,False
0x06672D847F95844843eF6428c336AE6465614446,bsc,SWR COIN,23,14000000000000000000000000,13999999999999999847915521,3,13975025138863732527464448,99.82160813474094,99.82160813474094,False,False
0x06706f17bCFf58a432469aeA9314Eecf710FF133,bsc,ARDI CAPITAL,63,100000000000000000000,100000000000000000000,1,99999966058888606373,99.99996605888862,99.99996605888862,False,False
0x069b4416d0224c04E9152EB6Cf327dB296aa06dB,bsc,Grandc,118,11000000000000000000000000,10999999999999999898048327,4,9626426149371814141231104,87.51296499428922,87.51296499428922,False,False
0x069d6d2b8311B70456e1F490331940DB7911aD0C,bsc,RisefinityNFT,176,100000000000000000000000,51098722200129592271925,0,2030019207102340943872,2.0300192071023413,3.972739668815422,True,True
0x06E95E2beC316645C7b32eFd56FE51C4225A3aEd,bsc,GPTVerse,28,100000000000000000000000000,99999999999999998310467200,7,93831949150580127802851328,93.83194915058013,93.83194915058013,False,False
0x06f782BFA57dFC8d8008fCE787265E3D2BfC1ff0,bsc,safeEarth,7,2000000000000000000000000,2000000000000000016482304,1,2000000000000000032964608,100.0,100.0,False,False
0x06fe91B34f2479cFAD2D4580fC27B4CB6c871649,bsc,Tenkle Set,22,100000000000000000000,100000000000000001189,1,99999999999677952040,99.99999999967795,99.99999999967795,False,False
0x0701Fb07D8B76f5Afcb4FCB842089BE8dE8c5316,bsc,Laugh Doge,32,100000000000000000000000000,60445085817245261995091800,1,20873708664306131605127168,20.873708664306132,34.53334275579896,True,True
0x071E414D0C2F5dDA07fAd6376131eD27ce05f31e,bsc,BassTrayt,23,100000000000000000000,100000000000000002030,1,99999904772305300401,99.9999047723053,99.9999047723053,False,False
0x0727C50b729C2a58a3E2EAC3eD9D2848f5d1F7dC,bsc,Wownero,26,1000000000000,1000000000000,1,998803808209,99.8803808209,99.8803808209,False,False
0x0739939cb8b760bfA4209eEB9D94b2E0e3fa4AF1,bsc,RealmOfBinance,45,1000000000000000000000000,999081070363883073548040,1,997719934663621283069952,99.77199346636213,99.86376123613611,False,False
0x074A43099fE214FfF1eE1D4edC322633663E90bE,bsc,Tiger Global,2,1000000000000000,1000000000000001,1,1000000000000002,100.0000000000002,100.00000000000011,False,False
0x0754d72A84565dA95012613Afc752eEd49AAEd53,bsc,Jail Kwon,25,1000000000000000000,999999999999999996,7,990685126277096459,99.06851262770965,99.06851262770965,False,False
0x0757FD09e673742ee5405711d4A202dd33b1e00d,bsc,GoChain,35,1000000000000,1000000000000,1,994756432597,99.47564325969999,99.47564325969999,False,False
0x07661e4F70BAc7555F2cB5d11faf71127c1bAba6,bsc,McSickie,31,1000000000000000000000000,1000000000000000000000000,2,905601952374478704075292,90.56019523744787,90.56019523744787,False,False
0x076cc37DD785eddeFdb9B873C74e67748F346969,bsc,MaziMatic,42,5000000000000000000000000000,5000000000000000032591972352,5,4147042919346301445676728320,82.94085838692602,82.94085838692602,False,False
0x076D1c2Df8401248B141673765bbF0D11d0545A6,bsc,Blue Energy Web,2,1000000000000000,1000000000000000,1,1000000000000001,100.00000000000011,100.00000000000011,False,False
0x0777D71A2F0011313F8C3001Ba7F4A128f1c45f8,bsc,Silicondai,15,1000000000000000000,999999999999999983,1,999998345547489034,99.9998345547489,99.9998345547489,False,False
0x0788D570a89438d233f8D04A3bb81C5D3D7f04c1,bsc,Hype Beast,35,1000000000000000000000000000000000,1000000000000000021574190079410176,2,889476364747838685631196960915456,88.94763647478386,88.94763647478386,False,False
0x078C237eAEE9B73E8c8dfC56B42ACA716A84837d,bsc,Jump Coin,13,10000000000000000,9999999999999999,1,9999960028322868,99.99960028322869,99.99960028322869,False,False
0x07A944BAed0BAfC237A832a5c7EE3189042CCCCC,bsc,Stormwill Coin,2,1000000000000000,1000000000000000,1,1000000000000001,100.00000000000011,100.00000000000011,False,False
0x07aD7662A73c4e04fB56B260229B824058D22e61,bsc,Latmigbara,135,10000000000000000000000000,10000000000000000016418121,3,9247134986639159311990784,92.47134986639159,92.47134986639159,False,False
0x07adE876705F3a4aA9ccFd50a42944561473994D,bsc,Serantain,34,1000000000000000000000000000,1000000000000000032988552306,1,999969672243975686440615936,99.99696722439757,99.99696722439757,False,False
0x07CE84Cc41164eF0Fec335aCeb60DD351434f7cC,bsc,Spartan Protocol Token,38,1000000000000000000000000,500050000000000000000000,0,99986516634217523156,0.009998651663421752,0.01999530379646386,True,True
0x0823AEcB584cb1aaAdfBEf43108e094cE8d11E06,bsc,CookPepe,18,1000000000000000000,999999999999999969,1,999993146520434160,99.99931465204341,99.99931465204341,False,False
0x085c0a1E7D76f3E11C7b2d9C2F20F0DfFcC7f11E,bsc,Crown Sterling,25,10000000000000,10000000000000,1,9911330611010,99.1133061101,99.1133061101,False,False
0x0891f9958c690e1bcd2164B9435892A21Ef8288b,bsc,Halv Tech Token,52,100000000000000000000,100000000000000000000,1,99999968964090240391,99.99996896409023,99.99996896409023,False,False
0x0899726ad4BE4dC406A4721cFb6fb5b1F7cFcAa7,bsc,Sir Floki,32,1000000000000000000000,895946963274600057474,2,783983662048861293568,78.39836620488613,87.503356134327,False,False
0x08b0871123876935BE7680c1Fc238486e566EB3e,bsc,FLYINGSHIBA,97,1000000000000000000000000000000000,994307440343251389321860267869244,1,986956149356737413595460764580599,98.69561493567373,99.26066217668289,False,False
0x08bF2cBABfe68592DCbe9352f2EE670D5794858e,bsc,Football World,25,1000000000000000000,999999999999999977,7,933475318636938376,93.34753186369383,93.34753186369385,False,False
0x090f6681409E681e3f6924440C1FBaA70f365FA0,bsc,CYBER TRON,9,600000000000000,600000000000000,3,600000000000000,100.0,100.0,False,False
0x0915F195b6782cd84D34aE8f277E23218F0AFcdB,bsc,Storm Empire,11,1000000000000000000000000000,1000000000000000000000000000,1,999999999991758304186127128,99.99999999917583,99.99999999917583,False,False
0x0918D6E11a292182B209B3b25245217218DCCFFA,bsc,AntiElonToken,115,1000000000000000000000,949975121417767813657,2,899441404914343421956,89.94414049143434,94.6805221143048,False,False
0x0925Efc85F3c2eeE63380F0191ae41a337B380D5,bsc,ReddCoin,81,1000000000000,1000000000000,1,989910937962,98.9910937962,98.9910937962,False,False
0x094f20b146F37546371be85467e6D5EC81C48C51,bsc,FLYLİON,200,10000000000000000000,7491479440532165926,1,4116488298970212384,41.16488298970212,54.94893674403241,True,True
0x099521b4BA89F80d5b717ee4e363FA11c77f9610,bsc,PI CONNECT,40,17000000000000000000000000,16999999999999999874501422,3,11847537181372489368862720,69.69139518454406,69.69139518454406,True,True
0x09D67757A05a03b5Ba2eF185586B4E06d05cBE89,bsc,DFT COIN,26,12000000000000000000000000,11999999999999999579650782,3,11998422083923063205658624,99.98685069935887,99.98685069935887,False,False
0x09FEB3e9822A2045DCdF64328f8C857Eb915e5bE,bsc,OBT COIN,20,10000000000000000000000000,10000000000000000000000000,3,9998865501612760043497688,99.98865501612761,99.98865501612761,False,False
0x0a4DC3AC9426e1c85db6b618de48a2bBdd596C4e,bsc,Demon,136,1000000000000000000000000,982962039536022028629334,2,965876347888447114284939,96.58763478884471,98.26181572020424,False,False
0x0aA8e59a6329AEBB991357140d0eE72BE0a974fE,bsc,Zloadr,31,1000000000000,1000000000000,1,998482907162,99.84829071620001,99.84829071620001,False,False
0x0aAbF08760528De1ccBeB498525af25eD86C702c,bsc,Bad Moon,18,10000000000000000000000000,10000000000000000000000000,1,9945355206951201833232584,99.45355206951201,99.45355206951201,False,False
0x0AdA00eD9F2caa91b4bEb812Fd64a16aE5569C9B,bsc,House of Dragmoon,105,1000000000000000000,749567099237236367,1,454231796034577305,45.42317960345773,60.59921740119145,True,True
0x0Af8ca33916D42362e115416BFc432e46558d04f,bsc,SpaceChain,47,1000000000000,1000000000000,1,994822054363,99.48220543629999,99.48220543629999,False,False
0x0B931CaD9077f3Bb9f6F8aa513626D30da8F2202,bsc,GROVE FINANCE,15,1000000000000000,1000000000000000,3,999340493523137,99.9340493523137,99.9340493523137,False,False
0x0B9fb7FeF33610958795AAaa80b5D5927763e51d,bsc,Jigstack,22,1000000000000000,1000000000000000,1,999532110768800,99.95321107688,99.95321107688,False,False
0x0bACCfC5e1dF9cE989260C9F7c4c36352B790B97,bsc,Expert Infra,24,100000000000000000000000,100000000000000000210756,6,88536345331628199378944,88.5363453316282,88.5363453316282,False,False
