token_address,chain,token_name,price_usd,liquidity_usd,market_cap_usd,liquidity_to_market_cap_ratio,token_volume,volume_usd,volume_to_liquidity_ratio,locked_liquidity_percent,locked_95_for_15_days,creator_under_5_percent,creator_percent_of_lp,owner_under_5_percent,owner_percent_of_lp,total_lp_supply,lp_holders_count,error
0xbC91e5db518BACAF2629Cdc6f0eE7D42fAD1355c,bsc,HachikoCharity,0.08584361058776063,5.26841068986024e-09,6.694120542055426e+22,7.870205887034382e-32,0.0,0.0,0.0,0.0,False,False,48.3381,False,48.3381,2.35811192162e-07,2,Liquidity pool info could not be retrieved.
0xBc943eF23F625a86A8d3cff1E8e5F03AAF5784F1,bsc,Varinboer,7.0775370123466485e-12,1.6282539195344727e-06,70775370123466.48,2.3005940014075662e-20,260203.33532801273,1.8415987365200564e-06,1.1310267486084604,0.0,False,False,30.7136,False,30.7136,8.250849019241066,2,
0xBcd47B84Dd7D5122CCF82438D311CFa06d7AFe88,bsc,LOVESTAKE,9.286785616121228e-15,9.371446052497257e-07,9286785616121.229,1.0091162259877156e-19,864125462.6773926,8.024947917316511e-06,8.563190645672087,0.0,False,False,27.7238,False,27.7238,131.7553893424562,2,
0xbCe0c292A9c73AA5Ba822538532735a8770D1664,bsc,BullRunner,84.08374324008709,6.726699459206968e-16,8.408374324008709e+16,8e-33,0.0,0.0,0.0,100.0,False,False,89.3247,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xbcE27eA3138dEB3D55Fd7Ae3a634ee417f42Aa26,bsc,LetAI,0.0005309828770530807,0.0009342458343758796,530982877053080.7,1.759465087764941e-18,0.0,0.0,0.0,99.5,False,True,1.0,True,1.0,0.5477225575051661,3,Liquidity pool info could not be retrieved.
0xbd00c4cE51ee3b37DaA01cF0d8886deC37E2aE7D,bsc,Lampline,5.161923828408901e-12,1.2358183033108985e-06,46457314455680.11,2.6601156734745372e-20,2186.8035171761185,1.1288113183359799e-08,0.009134120406792531,0.0,False,False,37.8803,False,37.8803,7.336445060766552,2,
0xbD0F3DD58134FF9D062E1b122ea39cE362f0c31e,bsc,MisterFox,4.57407202389104e-13,0.003615742027251518,4072549276182501.0,8.878326036218813e-19,27.798745527629627,1.2715346421719683e-11,3.51666305999855e-09,99.0,False,True,0.0,False,20.02,62114.19454558336,4,
0xbd7563B3151453125E0A643D11cE28BC19CE723B,bsc,Republic Of Mooners,6.575720443318599e-15,2.7870305461489413e-08,6.575720443318599e+18,4.238365317036498e-27,0.0,0.0,0.0,0.0,False,False,29.8303,True,0.0,4.687755400863118,2,Liquidity pool info could not be retrieved.
0xbDc57D68daa6aC178D55f8F66759A3788737b406,bsc,BabyMoon,2.462033581302275e-14,3.565899910426122e-05,2.4620080207528202e+17,1.448370549717283e-22,14025083194.520462,0.00034530225805467563,9.6834534543459,0.0,False,True,0.0,True,0.0,3115.9312793247345,3,
0xbE131ECeFb471CF643819be9B12DFaDb116B8E1e,bsc,OVR COIN,8.926169921961506e-11,9.023604667396196e-11,892616992196150.6,1.0109156274512505e-25,0.0,0.0,0.0,0.0,False,False,31.4179,False,31.4179,0.000129386054593052,2,Liquidity pool info could not be retrieved.
0xbE3447e908b1F5afe563a3DC536C30A1955990B8,bsc,Reptitle,1.0075878989279538e-07,2.419903705097288e-20,1.0075878989279538e+20,2.40168e-40,0.0,0.0,0.0,100.0,False,False,99.9929,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xbe5e5669b63671439B0Fefe68ea4fe1D51F73Fd1,bsc,StepMomDoge,2.715882413905907e-11,8.011781947352147e-08,14047940086908.18,5.7031720649340166e-21,22708151971020.695,616.7267059039787,7697747017.538385,0.0,False,True,3.0981,True,3.0981,0.20816186567217776,2,
0xBe68c0E062fdE7F0Ab1A5BcD0744449159f87dC1,bsc,Saveflygin,2.6755568550291735e-12,4.708449506750873e-07,21404454840233.387,2.1997521272536804e-20,4076402.33653786,1.0906646215380811e-05,23.16398678533793,0.0,False,False,76.833,False,76.833,3.8609283550526072,2,
0xbe7a3eE31f47692A88427A307C8cE32256D3234d,bsc,SEFAP,0.017423119922153906,9.72210091656188e-18,1.7423119922153906e+16,5.58e-34,0.0,0.0,0.0,100.0,False,False,70.0947,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
