token_address,chain,token_name,price_usd,liquidity_usd,market_cap_usd,liquidity_to_market_cap_ratio,token_volume,volume_usd,volume_to_liquidity_ratio,locked_liquidity_percent,locked_95_for_15_days,creator_under_5_percent,creator_percent_of_lp,owner_under_5_percent,owner_percent_of_lp,total_lp_supply,lp_holders_count,error
0x00000000051b48047be6dc0ada6de5c3de86a588,eth,Baby Shiba Inu,0.001158,247917.27,441608.33818979515,0.5613962612577521,0.0,0.0,0.0,91.27,False,True,0.0,True,0.0,36527.334059950226,3,Liquidity pool info could not be retrieved.
0x0000000000c5dc95539589fbd24be07c6c14eca4,eth,Milady Cult Coin,0.001188,12520448.63,5.444876577193671e-11,2.299491724466807e+17,0.0,0.0,0.0,0.0,False,True,0.0,True,0.0,1896419.9462448615,10,Liquidity pool info could not be retrieved.
0x0018d5e01e53878f90feab02f1b2019a21adf8b1,eth,Shadowcats,0.05131,55437.27,51207.268462663626,1.0826054906721019,0.0,0.0,0.0,100.0,False,True,0.0,True,0.0,1545.2460465688187,2,Liquidity pool info could not be retrieved.
0x0026dfbd8dbb6f8d0c88303cc1b1596409fda542,eth,SANSHU!,0.00026052958577736445,29030.51996184299,2.605295857773645e-13,1.1142888004532053e+17,0.0,0.0,0.0,77.05,False,True,0.3015,True,0.0,12900.815739917016,5,Liquidity pool info could not be retrieved.
0x004f747a91e05d0e2fbe8bf3cd39cdb2bcfab02c,eth,TWEET,0.01341,53278.87,0.0,0.0,0.0,0.0,0.0,99.72,False,True,0.0,True,0.0,3025.054997350053,4,Liquidity pool info could not be retrieved.
0x005e6fd1610302018dcd9caf29b8bc38ff6efd98,eth,Metafox,0.0004133,288694.52,0.004133,69851081.53883378,0.0,0.0,0.0,99.75,False,True,0.0,True,0.0,2.7728777700652323,3,Liquidity pool info could not be retrieved.
0x00869e8e2e0343edd11314e6ccb0d78d51547ee5,eth,SuperGrok,0.0003013,88551.35,3.0130000000000004e-13,2.9389761035512774e+17,,,,0.0,False,True,0.1693,True,0.0,39420.936814492554,3,Liquidity pool info could not be retrieved.
0x00e1656e45f18ec6747f5a8496fd39b50b38396d,bsc,Bomber Coin,0.006937,185609.8,6.08517140287646e-13,3.050198387382519e+17,0.0,0.0,0.0,76.55,False,True,0.0,True,0.0,3513.666219238866,10,Liquidity pool info could not be retrieved.
0x00f71afe867b2dbd2ad4ba14fd139bc6bc659ccd,bsc,XOXO Monkey,2.8560021320821268e-09,0.07755526164092325,6.132627887772587e-19,1.264633417520003e+17,0.0,0.0,0.0,89.09,False,True,0.0,True,4.7844,19916.27743416244,10,Liquidity pool info could not be retrieved.
0x0138f5e99cfdffbacf36e543800c19ef16fa294b,eth,Prophet,0.031066282649894177,55138.30156128214,0.0,0.0,0.0,0.0,0.0,100.0,False,True,0.0,True,0.0,2250.6928688079097,2,Liquidity pool info could not be retrieved.
0x016cf83732f1468150d87dcc5bdf67730b3934d3,bsc,AirNFT Token,0.000185,96044.89,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0.0,True,0.0,58091.91046118104,10,Liquidity pool info could not be retrieved.
0x0231f91e02debd20345ae8ab7d71a41f8e140ce7,bsc,BSC Wrapped Jupiter,6.491e-05,3177.04,6.491e-14,4.894530888923125e+16,0.0,0.0,0.0,0.0,False,True,0.0,True,0.0,1931.9324413854545,10,Liquidity pool info could not be retrieved.
0x0255af6c9f86f6b0543357bacefa262a2664f80f,bsc,Immutable,0.003157,143104.62,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0.0018,True,0.0,36669.937745343435,10,Liquidity pool info could not be retrieved.
0x0288d3e353fe2299f11ea2c2e1696b4a648ecc07,bsc,ZCore Finance,0.002283,15845.88,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0.1773,False,27.6249,5183.82919416065,10,Liquidity pool info could not be retrieved.
0x02a40c048ee2607b5f5606e445cfc3633fb20b58,bsc,Kaby Arena,2.1799154482379804e-10,3.940741865575617e-06,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0.0,True,0.0,309457.26747787924,10,Liquidity pool info could not be retrieved.
0x02ff5065692783374947393723dba9599e59f591,bsc,YOOSHI,2.755e-09,1433205.01,0.0,0.0,0.0,0.0,0.0,94.82,False,True,0.0,True,0.0,13692.314361866418,10,Liquidity pool info could not be retrieved.
0x033bbde722ea3cdcec73cffea6581df9f9c257de,eth,Velar,0.001941,15657.47,0.6418697343340674,24393.532149080762,0.0,0.0,0.0,100.0,False,True,0.0001,True,0.0,0.001950199585355817,2,Liquidity pool info could not be retrieved.
0x037838b556d9c9d654148a284682c55bb5f56ef4,bsc,Lightning,0.005979,138984.59,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0.4602,True,0.4602,25580.44310330746,10,Liquidity pool info could not be retrieved.
0x038a68ff68c393373ec894015816e33ad41bd564,eth,Glitch,0.0001635,30.95,1.1468006348368091e-14,2698812597396601.0,0.0,0.0,0.0,73.89,False,True,0.0,True,0.0,5325.978595211124,10,Liquidity pool info could not be retrieved.
0x0391be54e72f7e001f6bbc331777710b4f2999ef,bsc,TravaFinance Token,0.0001232,145867.08,5.288214969601247e-13,2.7583424811302435e+17,0.0,0.0,0.0,83.27,False,True,0.0,True,0.0,161173.64397966405,10,Liquidity pool info could not be retrieved.
