token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent_circulating,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating,owner_exceeds_5_percent_circulating,creator_exceeds_5_percent_circulating,owner_is_creator
0xe256dB6aC66D9429396CCBDB8eaE6b916eC55b44,bsc,Connex,31,10000000.0,10000000.0,6,8687119.300911685,86.87119300911685,86.87119300911685,False,False,False,False,True
0xE25E8543c2532DFd4Ab1991cA229ab16b190d656,bsc,Illumination Token,41,1000000000000000.0,904959286327778.9,0,789753878745964.2,78.97538787459642,87.26954799819725,False,False,True,True,True
0xe26342B251d90aF4582907B4d019b939B2DDcc15,bsc,Carbon Token,2,1000000000.0,1000000000.0000005,0,1000000000.000001,100.00000000000011,100.00000000000004,False,False,True,True,True
0xe28Ef371F5927c3E9b83564c76c1df7D1A2e9c91,bsc,VOWR,128,9000000.0,9000000.0,4,8581512.884105826,95.35014315673139,95.35014315673139,False,False,True,True,True
0xE294Df03D821dFfbD21b8AD3fb55255bB37eD29F,bsc,VIOK COIN,41,7000000.0,7000000.000000003,2,6952943.985709422,99.32777122442032,99.32777122442027,False,False,True,True,True
0xE29518368cAc993C9b611D8097CB74608d3F297C,bsc,Cellframe,22,1000000000000000.0,1000000000000000.0,2,992622102642350.0,99.262210264235,99.262210264235,False,False,,True,False
0xe2bab132106A9fa655d87a877eAA8EA96dAe397F,bsc,Frost Coin,33,1000000000000.0,981427845986.0455,2,958343948334.6799,95.834394833468,97.64792717612643,False,False,True,True,True
0xe2c8ED97C0AD0A5Ee4d1875e9414BC1E635E07eB,bsc,Falcon Launch,2,1000000000.0,1000000000.0000005,0,1000000000.000001,100.00000000000011,100.00000000000004,False,False,True,True,True
0xe2dd99CBA006D4518E0aA22aCd5642C903bc9461,bsc,AXEL BTC,32,100000000000.0,100000000000.0,0,99999996826.44168,99.99999682644169,99.99999682644169,False,False,True,True,True
0xe3241755D7D54f1B0215F50377792b64862Cb51A,bsc,Modefi,17,1000000000000000.0,1000000000000000.0,1,999509023588824.0,99.9509023588824,99.9509023588824,False,False,,True,False
0xE32F1724312C313c552A4781Bbf17866520587DB,bsc,Code Lyoko,7,10000000000000.0,10000000000000.0,0,10000000000000.0,100.0,100.0,False,False,,True,False
0xE332912b9279a7D01f78Fc6dF87865c7a8FA1efb,bsc,Air Pay,200,100000000000.0,73004585231.2062,2,35441894048.96542,35.44189404896542,48.54749045792207,True,True,,,True
0xE34643e86786F8C2C11adea54D48A011A943014F,bsc,TechVerse,45,100000000000.0,100000000000.00002,0,99999990256.12828,99.99999025612829,99.99999025612826,False,False,True,True,True
0xE34e89885cC00BDA124a9E7F8015783fC6143b9f,bsc,KSM COIN,30,14000000.0,14000000.0,2,13992860.936255312,99.94900668753793,99.94900668753793,False,False,True,True,True
0xe34F12117D6C916391c2266b7a53d96D6AB2cEF3,bsc,BIB Token,3,1000000.0,978752.2236710686,0,957504.447342137,95.7504447342137,97.8290954732919,False,False,True,True,True
0xE355c02146B9B8D4CbD411859d03039f8D83B5Fc,bsc,KMTT,103,10000000.0,9999999.999999998,1,9473233.929985426,94.73233929985425,94.73233929985427,False,False,True,True,True
0xE37976690b4d494c0E0fcE0e0770fE45c9fB7834,bsc,MIGHTYDOGE,200,1000000000000000.0,512602263531771.9,0,19062092148915.6,1.9062092148915606,3.7186905921132567,True,True,,,True
0xe3b14E185a7149c4bF8507f89a0858B79EBbcC06,bsc,Kuverit,32,1000000.0,1000000.0,0,995980.956225,99.59809562250001,99.59809562250001,False,False,True,True,True
0xE3eE3163436EfFC2FcD6Cd504E2D7Bf0C548CeAF,bsc,Silence Net,64,100000000000.0,100000000000.00002,0,99999999584.01599,99.99999958401598,99.99999958401598,False,False,True,True,True
0xe3fCFeAFB5E81FDE8D192244E2851d66D93dcdC3,bsc,UnitySynergy,46,1000000000.0,999999999.9999998,0,999976824.0789732,99.99768240789732,99.99768240789734,False,False,True,True,True
0xE40175E022a9F3ae5C37ea9993596A0465AbED5B,bsc,Baby Clifford Inu,200,1000000000000.0,861480761306.2488,2,686775652115.6038,68.67756521156036,79.72037020005615,True,False,,,True
0xE424ecC34E845E927c1B3E5176bbF8d394038f4d,bsc,BabyRWA,49,8235430.0,8235430.0,7,6900858.72503084,83.7947590475645,83.7947590475645,False,False,False,False,True
0xE485dA18fC3baa4CcD935c8eFA91c094f7Aa4c3e,bsc,Tales Of Space,18,1000000000.0,1000000000.0,0,999991810.2366384,99.99918102366384,99.99918102366384,False,False,True,True,True
0xE490e9D762d5dF35E863E0861EA6712720c1Feb9,bsc,Laxpdex,125,12000000.0,12000000.000000002,1,11263434.255907882,93.86195213256569,93.86195213256568,False,False,True,True,True
0xe4A56fA4F46951B0cfE4f01846b969cD870A48D1,bsc,ReperWall,73,100000000000.0,100000000000.00003,0,99999994473.57594,99.99999447357594,99.99999447357591,False,False,True,True,True
0xe4F965Ba83906cdF351f0776841c64812eD42811,bsc,SolanaMoon,13,1000000000000000.0,547331963170001.25,0,94663922706380.34,9.466392270638034,17.295522475631074,True,True,True,True,True
0xE5061e421DD5A48532f168209E975e231cA4d4D6,bsc,Liskera,12,1000000000000000.0,602068511932245.6,0,204135993586308.3,20.413599358630833,33.905774764929234,True,True,True,True,True
0xE51140053511c247daC9CD0867f4aB0805CdEEb9,bsc,Weenie Inu,200,100000000000.0,96225417523.48837,0,81679979804.62651,81.67997980462653,84.88399625253759,False,False,,True,False
0xe54c4563Ed55A69E49bDE5b8038F2206363545Fc,bsc,Delorian Net,124,100000000000.0,100000000000.0,0,99999869520.37883,99.99986952037882,99.99986952037882,False,False,True,True,True
0xE55Fd505Cd157FE6ff4A86c1aEBc61a3eCa51355,bsc,Elite,29,1000000000000000.0,985210092925486.6,0,935678611066291.9,93.56786110662918,94.97249548955433,False,False,True,True,True
