token_address,chain,token_name,price_usd,liquidity_usd,slippage_is_suspicious,first_abnormal_slippage_percent,first_abnormal_slippage_fixed,market_cap_usd,liquidity_to_market_cap_ratio,token_volume,volume_usd,volume_to_liquidity_ratio,locked_liquidity_percent,lock_duration,locked_95_for_15_days,creator_under_5_percent,creator_percent_of_lp,owner_under_5_percent,owner_percent_of_lp,total_lp_supply,lp_holders_count,error
0x7356F6D4D9802aC66CE4349B99Aedc80B1AC65E2,bsc,MAJA Token,3900171.5212019477,1560.068608480779,True,,99.98000401123144,11310.497411485647,0.13793103448275862,61212425605007.734,2.3873895908834407e+20,1.5303106401251936e+17,95.52,0,False,True,0.0,True,0.0,14.805656029886746,6,
0x736bCE9185dd74c544b8e3E873D26beB5E996Afe,bsc,SUPERPIXEL,0.0026493420881206825,0.008052829505643132,True,,39.79528177643126,55636.18385053433,1.4474086733333333e-07,0.0,0.0,0.0,0.0,0,False,True,0.0,False,7.1285,1.993454395023e-05,3,Liquidity pool info could not be retrieved.
0x73a302d59C2Bf5D87fEb00c62b534fF497C69E61,bsc,Fallout,2.0498577469621937e-06,1.091860907119179,False,,,204.98577469621938,0.005326520382876678,0.0,0.0,0.0,0.0,0,False,True,0.0,True,0.0,12.375648192477655,2,Liquidity pool info could not be retrieved.
0x73c8A06E93AAfDA9633f10CB5Bab522B606ABBEC,bsc,Hero Token,3.21214482736894e-07,0.0014926445383650878,True,,30.236071351777454,321.214482736894,4.64687807861923e-06,0.0,0.0,0.0,0.0,0,False,False,88.2501,True,0.0,0.04244187667863623,2,Liquidity pool info could not be retrieved.
0x73EAd2B87813EC1f833ebb678e0A57eD6c11a4FF,bsc,WhaleMoon,6.947452000213997e-19,2.1867538383676544e-05,False,,,0.06947452000213997,0.0003147562355666938,35285804718854.8,2.4514643457316824e-05,1.12105180872193,0.0,0,False,False,99.9647,True,0.0,429.46562252330506,2,
0x7484F9C792b581DAC8362C272d6C4f93F1071eb3,bsc,PLUTO,0.001274301663524818,2.2937429943446725e-10,True,,99.9999910000008,1274.301663524818,1.8000000000000002e-13,0.0,0.0,0.0,100.0,0,False,False,99.0313,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0x748b8a24F4D6406B990d7F36dFB6eea23dF583Df,bsc,MesChain,0.09765183331499806,0.0002955233525538454,True,,99.84891450262606,97651.83331499806,3.026296e-09,0.0,0.0,0.0,0.0,0,False,False,93.2949,True,0.0,4.87005243e-10,2,Liquidity pool info could not be retrieved.
0x7503746B7b8c0e0590c9d0f5b235a6b367B861a8,bsc,BabyPooDoge,0.10084548978374147,0.20169097956748294,True,,50.07511266900351,100845489783741.47,2e-15,0.0,0.0,0.0,0.03,0,False,False,100.0,True,0.0,3.690696e-12,2,Liquidity pool info could not be retrieved.
0x751F83714344c0045ce0ABB939291204f01Cf0C9,bsc,Racdeex,5.284340923363442e-07,0.17441330433247867,True,,5.980102169183423,3.170604554018065,0.05500947890567021,2267609.7612769455,1.198282305973417,6.8703606674933955,0.0,0,False,True,0.0,True,0.0,117.7757926648829,2,
0x751FCE7FF73379c13d2cD1F1f50BFF95d29a0A7C,bsc,Billiard Crypto,0.1085323984486704,0.0010803032757344686,True,,99.50478503660469,108532.3984486704,9.95374e-09,0.0,0.0,0.0,0.0,0,False,False,96.7796,True,0.0,1.685641983e-09,2,Liquidity pool info could not be retrieved.
0x75574397Fd5b3Ad042d72120D13C325D1A7a197e,bsc,Kostov,4.3048127170481493e-07,3.4052509646786673,False,,,430.48127170481496,0.007910334754385505,1379515.829308847,0.5938557285377949,0.17439411505866306,0.0,0,False,False,98.1581,False,98.1581,0.002646520658058161,3,
0x756Cbd7A5548dcc009956E9F43143A43F292b0FB,bsc,PARX COIN,0.00039315109950082317,1.9188321274764936e-15,True,,99.99999999975597,3145.2087960065855,6.10081e-19,0.0,0.0,0.0,100.0,0,False,False,30.1905,False,30.1905,1e-15,1,Liquidity pool info could not be retrieved.
0x759D0Dd71a363d23C42c6619C7247ecfF09a18e3,bsc,Kvistpalm,1.0345700931272798e-05,0.6388838768808398,True,,24.635063471629483,103.45700931272798,0.00617535613222332,4312079.950319717,44.61148955774545,69.82722709414386,0.0,0,False,False,60.9475,False,60.9475,3.205355264599137,2,
0x75B98877d6B6396fce12762DC6d9c9D01d8D9d34,bsc,Baby Neiro BNB,8.471273518326584e-11,0.010298937491132469,False,,,0.008471273518326584,1.2157484313134208,54146609.6956227,0.00458690740821694,0.44537675970616697,0.0,0,False,True,0.0,True,0.0,18.121239761827816,2,
0x75d46c939F0ef0E7d2a4877C949ed4FCc83a0497,eth,Nyan Dog,0.0008528051595618489,172.42784377755834,True,,9.249834446295798,8528.051595618488,0.020218902505954314,0.0,0.0,0.0,0.0,0,False,False,77.9188,True,0.0,37.213812416205535,2,Liquidity pool info could not be retrieved.
0x75eBaa7d3029d55fB65508B97Bb9B205a6c7aF01,bsc,JamesWebbCoin,1.019730333801581e-11,6193.798580449527,False,,,10197.30333801581,0.607395737396463,96554103455.54703,0.9845914814663737,0.00015896407813037326,100.0,0,False,True,0.0,True,0.0,30464999.832907826,3,
0x76026f29Fe55395a28b640Ae815eA98C23866651,bsc,Me Centraland,0.0021102256026212895,4.220451205242579e-09,True,,99.99990000010031,2110225.6026212894,1.9999999999999998e-15,0.0,0.0,0.0,0.0,0,False,False,99.6955,True,0.0,1.4521602306e-08,2,Liquidity pool info could not be retrieved.
0x7606267A4bfff2c5010c92924348C3e4221955f2,bsc,Talkado,4.45926981602316e-13,12699.42803872763,False,,,44592.6981602316,0.28478716387816966,11745226362785.82,5.237513340193029,0.00041242119914542086,98.91,0,False,True,0.396,True,0.9727,9509.13963684028,10,
0x761Bcbf7718C343B03371A1e9600E14a26F4E127,bsc,BabyPooCoin,2.902894969442901e-10,0.9471268231440871,False,,,290289.4969442901,3.262697524760435e-06,0.0,0.0,0.0,0.0,0,False,True,4.8437,True,4.8437,0.02623521714709877,2,Liquidity pool info could not be retrieved.
0x7623eBC0838049C87275F360101e4499BF0245a8,bsc,RONS COIN,5.067801507546071e-05,4.744213851844123e-05,True,,68.14700926266714,608.1361809055285,7.801235974448818e-08,0.0,0.0,0.0,0.0,0,False,False,53.2301,False,53.2301,0.00010690243777285,2,Liquidity pool info could not be retrieved.
0x7651bc837A7D2a520F4e85a99566942d48B6428a,bsc,Quant Systems,0.03725806654049619,7.451613308099237e-08,True,,99.99990000010031,37258.06654049619,2e-12,0.0,0.0,0.0,100.0,0,False,False,97.7641,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0x767FAC38A80AcA37545760a84fF7BF6242B62aF5,bsc,Cookie Dao,0.002190093062751641,3.767647757154527e-15,True,,99.999999999914,15330.651439261486,2.457591428571429e-19,0.0,0.0,0.0,100.0,0,False,False,91.8459,False,91.8459,1e-15,1,Liquidity pool info could not be retrieved.
0x7722F89bF70F7A354f3553b1C7439d0497E7FC6F,bsc,MyOnlyDoge,1.6785135014472074e-10,2.594075475946601e-14,True,,99.99227329886196,167851.35014472075,1.5454599999999998e-19,0.0,0.0,0.0,0.0,0,False,False,8.6392,False,8.6392,0.0,0,Liquidity pool info could not be retrieved.
0x7730ac665114c0e343B141dAaaeB097197191F8a,bsc,ElonHype,2.169035328505988e-05,1780.568306937589,False,,,21690.353285059882,0.08209033221068042,4952478.361252518,107.42100529218155,0.06032961772577859,99.74,0,False,False,10.6184,True,3.0,5013.135469322885,6,
0x7746b7109eaB6Fc3454887aa7791cA3224cB78a7,bsc,TOKEN 2049,9.964132233194196e-07,0.003225822462606041,True,,6.084445099354658,99.64132233194196,3.237434416877405e-05,0.0,0.0,0.0,0.0,0,False,True,0.0,True,0.0,0.052497383550531386,2,Liquidity pool info could not be retrieved.
0x774813BefE549EA9A238311f7B7e65F2f945D875,bsc,Chimpion,0.00827300371879318,1.8200608181344996e-10,True,,99.99999890000002,82730.03718793181,2.2e-15,0.0,0.0,0.0,100.0,0,False,False,99.8719,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0x774A7cA6Ff3951060c1D74327003800dc7A9E1c8,bsc,BullRun,2.9285579942405184e-10,3.33416327644283e-14,True,,99.99430782500205,292855.79942405183,1.1385e-19,0.0,0.0,0.0,0.0,0,False,False,8.5589,False,8.5589,0.0,0,Liquidity pool info could not be retrieved.
